#
# Degree Distribution: Post Similarity. G(50000, 1704460). 8279 (0.1656) nodes with in-deg > avg deg (68.2), 3138 (0.0628) with >2*avg.deg (Mon Dec  8 21:54:25 2014)
#
# In-degree	Count
0	1179
1	1239
2	1195
3	1165
4	1226
5	1243
6	1181
7	1266
8	1192
9	1124
10	1121
11	1140
12	1118
13	1076
14	1020
15	979
16	967
17	983
18	874
19	840
20	787
21	787
22	743
23	798
24	757
25	641
26	609
27	632
28	598
29	577
30	613
31	535
32	552
33	509
34	489
35	478
36	434
37	448
38	439
39	428
40	393
41	384
42	382
43	396
44	339
45	321
46	353
47	348
48	321
49	299
50	299
51	300
52	262
53	225
54	230
55	239
56	247
57	228
58	241
59	211
60	219
61	206
62	200
63	188
64	179
65	194
66	189
67	179
68	167
69	155
70	155
71	161
72	153
73	130
74	141
75	130
76	121
77	130
78	110
79	120
80	115
81	119
82	139
83	121
84	104
85	105
86	110
87	109
88	91
89	100
90	81
91	78
92	86
93	85
94	73
95	81
96	88
97	75
98	82
99	81
100	67
101	61
102	66
103	81
104	74
105	82
106	62
107	57
108	51
109	40
110	55
111	49
112	38
113	46
114	66
115	46
116	51
117	44
118	47
119	43
120	42
121	45
122	33
123	42
124	41
125	41
126	35
127	28
128	34
129	47
130	29
131	35
132	22
133	28
134	22
135	37
136	25
137	34
138	18
139	21
140	32
141	22
142	14
143	25
144	28
145	25
146	23
147	27
148	13
149	22
150	17
151	19
152	26
153	19
154	18
155	18
156	10
157	17
158	18
159	14
160	7
161	22
162	21
163	19
164	11
165	8
166	20
167	18
168	19
169	17
170	15
171	8
172	9
173	15
174	8
175	7
176	13
177	11
178	17
179	22
180	22
181	10
182	11
183	9
184	6
185	9
186	11
187	15
188	10
189	9
190	5
191	10
192	14
193	11
194	11
195	4
196	10
197	13
198	14
199	8
200	9
201	8
202	5
203	8
204	8
205	4
206	9
207	3
208	7
209	7
210	9
211	11
212	9
213	6
214	4
215	5
216	2
217	1
218	9
219	7
220	4
221	6
222	8
223	7
224	6
225	6
226	6
227	5
228	6
229	6
230	4
231	7
232	4
233	3
234	5
235	7
236	6
238	5
239	8
240	3
241	5
242	3
243	4
244	12
245	2
246	2
247	3
248	6
249	6
250	7
251	2
252	7
253	1
254	8
255	3
256	3
257	6
258	3
259	5
260	4
261	5
262	5
263	1
264	2
265	3
266	3
267	7
268	2
269	3
271	3
272	1
273	5
274	6
275	2
276	1
277	1
278	3
279	4
280	2
281	1
282	4
283	4
284	3
285	2
286	4
287	1
289	3
290	1
291	2
292	7
293	1
294	3
295	4
296	2
297	6
298	5
300	1
301	3
302	2
303	1
304	6
305	2
306	3
307	6
308	1
309	3
310	1
311	2
312	1
313	2
314	3
315	3
316	1
317	1
318	1
319	3
321	2
322	4
323	5
324	1
325	3
327	4
328	2
329	4
330	1
331	2
332	1
334	2
335	3
336	4
337	3
339	3
340	1
341	4
342	3
343	2
346	1
347	1
348	1
349	1
350	3
351	1
352	2
353	1
354	1
355	1
356	1
357	2
358	2
359	3
360	1
361	2
362	3
365	3
367	2
368	2
369	4
370	2
371	1
372	1
373	3
374	1
375	3
376	4
377	1
379	2
380	1
381	1
382	2
383	1
384	2
385	1
386	4
387	3
388	1
389	1
390	2
391	1
393	2
394	3
395	2
396	2
397	5
398	2
400	1
401	1
402	2
403	1
404	3
405	3
406	2
407	3
408	4
409	2
411	2
412	3
413	2
414	3
415	1
416	4
417	1
418	2
419	2
420	2
421	2
422	1
423	2
424	1
426	2
427	2
428	1
429	2
430	4
432	3
433	2
434	1
435	1
437	2
439	1
440	3
441	1
442	2
443	1
444	2
445	2
446	2
448	1
449	1
450	2
451	1
453	2
454	1
455	4
456	1
457	1
460	2
461	1
462	2
463	2
464	2
465	4
466	2
470	1
471	1
472	2
473	2
474	2
475	1
476	1
477	2
478	1
480	2
481	2
482	1
483	2
484	2
487	2
488	1
490	2
491	2
492	2
493	2
495	1
496	1
497	2
499	1
500	1
501	2
502	1
503	1
504	1
505	2
506	1
508	3
510	2
512	1
513	1
516	1
517	5
520	1
522	1
523	2
526	1
527	1
528	1
529	3
530	1
531	1
532	4
533	1
534	1
536	4
537	2
539	1
540	2
542	1
546	1
547	1
548	1
549	2
550	1
551	3
552	1
553	2
554	1
555	1
556	1
557	2
558	2
559	1
560	2
561	1
562	2
563	1
564	1
565	1
566	1
567	4
568	2
569	2
570	1
572	1
573	1
575	2
576	1
577	1
579	1
580	2
581	1
582	1
583	2
585	2
586	2
588	1
589	1
590	3
593	1
594	2
595	2
597	1
600	3
601	1
604	1
607	2
608	1
609	1
610	1
611	1
612	4
613	2
614	1
616	1
617	1
619	1
620	2
621	1
622	3
624	2
626	2
627	2
628	2
629	1
630	1
631	2
632	1
633	2
634	3
637	1
638	2
639	2
642	1
643	1
644	1
645	2
646	1
648	2
649	1
650	1
651	1
653	2
654	1
656	1
658	1
661	3
663	1
664	1
665	1
667	1
668	2
669	2
670	4
672	1
673	3
674	3
676	2
680	1
681	1
682	1
684	1
685	1
686	2
688	1
693	1
694	3
695	4
696	2
697	3
698	3
700	2
701	1
703	1
704	1
706	2
707	1
709	1
711	2
713	1
714	1
715	2
716	2
717	1
719	2
722	1
723	1
724	1
725	3
726	1
727	1
728	1
730	1
731	1
733	1
734	2
737	3
738	2
739	2
741	2
743	1
745	2
746	2
747	1
749	2
752	2
753	2
754	1
757	1
758	2
762	1
763	2
764	3
767	3
768	1
769	1
770	2
771	1
772	3
773	2
774	1
775	2
777	1
779	3
781	1
782	3
783	1
784	1
785	1
786	1
787	2
788	1
790	1
791	4
793	1
794	2
796	2
798	1
802	4
804	1
807	1
808	2
809	1
810	1
814	3
816	4
817	1
819	1
823	1
824	1
825	2
826	1
827	1
828	1
829	2
830	2
831	1
833	2
835	1
836	2
838	1
839	1
842	1
845	3
846	2
847	2
849	1
851	1
852	1
854	2
855	1
859	1
860	1
861	2
862	2
864	1
865	3
866	1
867	3
868	1
870	3
871	3
872	1
875	1
877	1
878	1
879	1
881	1
882	2
883	2
884	2
886	1
887	2
889	2
890	3
891	1
892	1
894	3
896	1
897	2
898	3
900	2
901	3
902	2
904	1
905	2
906	3
907	1
908	1
909	3
911	2
912	1
913	2
919	2
920	1
921	4
924	3
926	2
928	1
929	3
930	3
931	5
933	1
936	1
938	4
939	1
940	1
941	2
942	1
943	1
945	2
946	2
947	1
948	1
950	1
951	3
953	1
955	3
957	3
958	3
959	1
961	1
962	1
963	2
965	1
967	1
968	1
976	1
977	2
978	2
979	1
980	2
981	2
983	2
984	1
985	3
986	1
988	1
989	1
990	1
991	2
992	1
994	3
995	1
996	2
997	1
998	1
999	1
1000	2
1002	2
1003	2
1004	2
1007	4
1008	1
1009	2
1010	1
1011	2
1012	3
1015	2
1016	1
1017	1
1018	1
1019	1
1021	1
1022	1
1023	1
1024	1
1025	1
1026	2
1027	2
1028	1
1030	1
1031	2
1034	3
1037	2
1038	1
1040	4
1042	2
1043	3
1045	1
1049	1
1050	2
1051	3
1052	1
1054	1
1056	2
1058	2
1059	1
1060	5
1062	1
1066	2
1067	3
1069	1
1071	1
1072	1
1076	1
1078	1
1080	3
1081	1
1085	1
1088	1
1090	2
1091	1
1093	1
1094	1
1096	1
1099	1
1101	1
1102	2
1103	2
1104	1
1105	2
1107	1
1108	1
1111	1
1116	2
1118	2
1121	1
1122	1
1123	1
1124	1
1125	1
1126	1
1127	1
1128	1
1130	2
1132	3
1134	1
1135	2
1138	1
1139	2
1142	1
1143	1
1144	1
1146	2
1147	1
1148	1
1151	1
1152	1
1153	1
1154	2
1155	2
1156	1
1157	1
1158	1
1160	1
1161	1
1162	1
1163	1
1164	1
1165	1
1167	2
1168	3
1170	1
1173	1
1174	2
1175	1
1176	4
1178	1
1179	1
1181	4
1183	1
1184	3
1185	1
