#
# Degree Distribution: Users Network. G(83548, 124295). 12083 (0.1446) nodes with in-deg > avg deg (3.0), 7902 (0.0946) with >2*avg.deg (Mon Dec  8 22:47:55 2014)
#
# In-degree	Count
0	47538
1	20156
2	3771
3	1867
4	1316
5	998
6	755
7	637
8	523
9	485
10	358
11	374
12	336
13	276
14	237
15	224
16	214
17	200
18	173
19	182
20	125
21	132
22	123
23	94
24	110
25	104
26	97
27	105
28	74
29	76
30	67
31	65
32	66
33	58
34	62
35	62
36	46
37	66
38	56
39	49
40	45
41	39
42	40
43	39
44	43
45	41
46	41
47	30
48	33
49	28
50	37
51	21
52	28
53	25
54	20
55	22
56	19
57	22
58	16
59	16
60	8
61	15
62	22
63	16
64	14
65	17
66	14
67	19
68	14
69	16
70	14
71	14
72	9
73	13
74	14
75	8
76	16
77	13
78	7
79	9
80	8
81	12
82	10
83	6
84	7
85	9
86	9
87	8
88	3
89	10
90	7
91	5
92	6
93	13
94	6
95	4
96	3
97	6
98	2
99	11
100	3
101	8
102	3
103	4
104	4
105	2
106	6
107	6
108	3
109	4
110	2
111	3
112	4
113	3
114	6
116	9
117	5
118	4
119	1
120	3
121	2
122	2
123	3
124	4
125	1
126	3
127	4
128	3
129	2
130	2
131	1
132	2
133	3
134	4
135	2
136	2
137	2
138	3
139	1
140	1
141	1
142	4
143	4
144	4
145	5
147	2
148	2
149	1
150	1
151	1
154	3
155	3
156	3
158	3
159	2
160	1
161	1
162	4
163	1
164	1
165	3
166	1
167	1
168	1
172	4
174	2
180	1
183	1
185	1
186	3
187	2
188	2
189	1
191	1
193	1
194	1
196	1
197	1
198	1
200	1
203	2
207	2
209	1
213	1
216	1
219	3
220	2
221	2
223	1
226	1
230	1
231	1
232	2
235	1
236	1
238	1
239	1
245	1
246	1
250	4
253	1
256	1
262	1
269	1
270	1
271	1
272	1
287	1
301	1
305	1
315	1
316	1
317	1
328	1
333	1
334	1
338	2
340	1
366	1
367	1
370	1
382	1
387	1
409	1
432	1
434	1
454	1
479	1
486	1
523	1
799	1
